Applicant ID,School Name,GPA,Degree,Location,Gender,Veteran status,Work authorization,Disability,Ethnicity,Role 1,Start 1,End 1,Role 2,Start 2,End 2,Role 3,Start 3,End 3,Resume score
1,University of Alaska Fairbanks,4.56,Masters,Bethlehem,N/A,1,1,1,1,Fixed Income Research Analyst,10/2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.63
2,University of Huddersfield,0.84,Bachelors,Portland,N/A,0,0,0,4,Financial Econometrics Researcher,4/16,N/A,Strategic Planning Analyst,2/15,7/19,Equity Derivatives Analyst,12/11,8/13,2.72
3,University of Pennsylvania,3.35,Phd,Salt Lake City,N/A,0,1,1,3,Risk Modeling Analyst,3/13,4/24,Credit Scoring Specialist,1/20,8/21,N/A,N/A,N/A,7.89
4,Cardiff Metropolitan University,3.55,Bachelors,Hatfield,F,0,1,0,4,Customer Lifetime Value Analyst,5/6,8/13,Treasury Data Scientist,1/9,4/21,Financial Modelling Analyst,7/10,11/24,9.69
5,Stevens Institute of Technology,2.27,Masters,Washington,M,1,1,0,3,Fixed Income Research Analyst,12/13,N/A,Operational Risk Modeling Analyst,11/10,12/13,N/A,N/A,N/A,7.69
6,University of Wolverhampton,1.97,Bachelors,Uxbridge,F,N/A,1,N/A,3,Commercial Banking Analyst,3/3,1/5,Quantitative Risk Analyst,11/9,1/15,Strategic Planning Analyst,10/15,2/16,5.35
7,Durham University,3.58,Phd,Aberystwyth,N/A,1,0,0,1,Hedge Fund Analyst,5/5,6/21,Operational Risk Analyst,6/20,2/24,Investment Banking Analyst,1/11,8/15,4.34
8,Princeton University,4.94,Masters,Preston,F,0,0,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.44
9,University of Florida,0.13,Masters,Wilmington,M,0,0,1,3,Algorithm Developer,7/6,8/21,Business Development Analyst,6/12,11/14,Algorithmic Trade Surveillance Analyst,9/11,1/15,7.72
10,Temple University,1.64,Bachelors,Milwaukee,F,0,0,0,0,Risk Appetite Analyst,11/6,8/8,Operational Risk Modeling Analyst,8/15,3/21,N/A,N/A,N/A,1.4
11,University of Huddersfield,1.65,Bachelors,Newcastle ,N/A,1,0,1,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.8
12,University of Dundee,4.93,Masters,Sheffield,F,0,0,1,2,Financial Controller,12/15,6/20,Mortgage Risk Analyst,3/15,6/23,Tax Analyst,7/19,9/24,2.69
